href,title,valor_monetario
/fc-bayern-munique/kader/verein/27/saison_id/2004,FC Bayern Munique,€ 175.30 mi.
/werder-bremen/kader/verein/86/saison_id/2004,Werder Bremen,€ 98.48 mi.
/bayer-04-leverkusen/kader/verein/15/saison_id/2004,Bayer 04 Leverkusen,€ 86.93 mi.
/schalke-04/kader/verein/33/saison_id/2004,Schalke 04,€ 86.33 mi.
/vfb-stuttgart/kader/verein/79/saison_id/2004,VfB Stuttgart,€ 79.50 mi.
/borussia-dortmund/kader/verein/16/saison_id/2004,Borussia Dortmund,€ 78.33 mi.
/hertha-berlim/kader/verein/44/saison_id/2004,Hertha Berlim,€ 71.78 mi.
/hamburger-sv/kader/verein/41/saison_id/2004,Hamburger SV,€ 65.60 mi.
/vfl-wolfsburg/kader/verein/82/saison_id/2004,VfL Wolfsburg,€ 59.30 mi.
/borussia-monchengladbach/kader/verein/18/saison_id/2004,Borussia Mönchengladbach,€ 50.93 mi.
/hannover-96/kader/verein/42/saison_id/2004,Hannover 96,€ 42.98 mi.
/1-fc-nuremberg/kader/verein/4/saison_id/2004,1.FC Nuremberg,€ 34.90 mi.
/1-fc-kaiserslautern/kader/verein/2/saison_id/2004,1.FC Kaiserslautern,€ 33.75 mi.
/vfl-bochum/kader/verein/80/saison_id/2004,VfL Bochum,€ 31.40 mi.
/fc-hansa-rostock/kader/verein/30/saison_id/2004,FC Hansa Rostock,€ 25.90 mi.
/arminia-bielefeld/kader/verein/10/saison_id/2004,Arminia Bielefeld,€ 24.65 mi.
/sc-freiburg/kader/verein/60/saison_id/2004,SC Freiburg,€ 22.43 mi.
/1-fsv-mainz-05/kader/verein/39/saison_id/2004,1.FSV Mainz 05,€ 16.73 mi.
/fc-bayern-munique/kader/verein/27/saison_id/2005,FC Bayern Munique,€ 177.88 mi.
/werder-bremen/kader/verein/86/saison_id/2005,Werder Bremen,€ 111.60 mi.
/hamburger-sv/kader/verein/41/saison_id/2005,Hamburger SV,€ 106.90 mi.
/schalke-04/kader/verein/33/saison_id/2005,Schalke 04,€ 87.18 mi.
/bayer-04-leverkusen/kader/verein/15/saison_id/2005,Bayer 04 Leverkusen,€ 81.23 mi.
/borussia-dortmund/kader/verein/16/saison_id/2005,Borussia Dortmund,€ 78.53 mi.
/hertha-berlim/kader/verein/44/saison_id/2005,Hertha Berlim,€ 72.70 mi.
/vfb-stuttgart/kader/verein/79/saison_id/2005,VfB Stuttgart,€ 69.80 mi.
/vfl-wolfsburg/kader/verein/82/saison_id/2005,VfL Wolfsburg,€ 61.38 mi.
/1-fc-nuremberg/kader/verein/4/saison_id/2005,1.FC Nuremberg,€ 52.13 mi.
/borussia-monchengladbach/kader/verein/18/saison_id/2005,Borussia Mönchengladbach,€ 49.90 mi.
/hannover-96/kader/verein/42/saison_id/2005,Hannover 96,€ 45.35 mi.
/1-fc-colonia/kader/verein/3/saison_id/2005,1.FC Colônia,€ 43.63 mi.
/sg-eintracht-frankfurt/kader/verein/24/saison_id/2005,SG Eintracht Frankfurt,€ 39.95 mi.
/1-fsv-mainz-05/kader/verein/39/saison_id/2005,1.FSV Mainz 05,€ 37.75 mi.
/1-fc-kaiserslautern/kader/verein/2/saison_id/2005,1.FC Kaiserslautern,€ 37.38 mi.
/arminia-bielefeld/kader/verein/10/saison_id/2005,Arminia Bielefeld,€ 32.85 mi.
/msv-duisburg/kader/verein/52/saison_id/2005,MSV Duisburg,€ 24.18 mi.
/fc-bayern-munique/kader/verein/27/saison_id/2006,FC Bayern Munique,€ 180.73 mi.
/werder-bremen/kader/verein/86/saison_id/2006,Werder Bremen,€ 157.25 mi.
/schalke-04/kader/verein/33/saison_id/2006,Schalke 04,€ 106.60 mi.
/hamburger-sv/kader/verein/41/saison_id/2006,Hamburger SV,€ 101.83 mi.
/vfb-stuttgart/kader/verein/79/saison_id/2006,VfB Stuttgart,€ 97.08 mi.
/borussia-dortmund/kader/verein/16/saison_id/2006,Borussia Dortmund,€ 79.78 mi.
/bayer-04-leverkusen/kader/verein/15/saison_id/2006,Bayer 04 Leverkusen,€ 74.08 mi.
/hertha-berlim/kader/verein/44/saison_id/2006,Hertha Berlim,€ 73.40 mi.
/1-fc-nuremberg/kader/verein/4/saison_id/2006,1.FC Nuremberg,€ 65.45 mi.
/vfl-wolfsburg/kader/verein/82/saison_id/2006,VfL Wolfsburg,€ 55.90 mi.
/sg-eintracht-frankfurt/kader/verein/24/saison_id/2006,SG Eintracht Frankfurt,€ 52.95 mi.
/borussia-monchengladbach/kader/verein/18/saison_id/2006,Borussia Mönchengladbach,€ 45.85 mi.
/hannover-96/kader/verein/42/saison_id/2006,Hannover 96,€ 45.85 mi.
/vfl-bochum/kader/verein/80/saison_id/2006,VfL Bochum,€ 41.00 mi.
/1-fsv-mainz-05/kader/verein/39/saison_id/2006,1.FSV Mainz 05,€ 36.03 mi.
/arminia-bielefeld/kader/verein/10/saison_id/2006,Arminia Bielefeld,€ 35.60 mi.
/alemannia-aachen/kader/verein/8/saison_id/2006,Alemannia Aachen,€ 26.68 mi.
/fc-energie-cottbus/kader/verein/25/saison_id/2006,FC Energie Cottbus,€ 26.55 mi.
/fc-bayern-munique/kader/verein/27/saison_id/2007,FC Bayern Munique,€ 249.20 mi.
/werder-bremen/kader/verein/86/saison_id/2007,Werder Bremen,€ 159.55 mi.
/schalke-04/kader/verein/33/saison_id/2007,Schalke 04,€ 125.85 mi.
/hamburger-sv/kader/verein/41/saison_id/2007,Hamburger SV,€ 120.75 mi.
/vfb-stuttgart/kader/verein/79/saison_id/2007,VfB Stuttgart,€ 108.85 mi.
/bayer-04-leverkusen/kader/verein/15/saison_id/2007,Bayer 04 Leverkusen,€ 90.05 mi.
/hertha-berlim/kader/verein/44/saison_id/2007,Hertha Berlim,€ 81.00 mi.
/borussia-dortmund/kader/verein/16/saison_id/2007,Borussia Dortmund,€ 79.80 mi.
/vfl-wolfsburg/kader/verein/82/saison_id/2007,VfL Wolfsburg,€ 79.00 mi.
/sg-eintracht-frankfurt/kader/verein/24/saison_id/2007,SG Eintracht Frankfurt,€ 67.80 mi.
/hannover-96/kader/verein/42/saison_id/2007,Hannover 96,€ 61.55 mi.
/1-fc-nuremberg/kader/verein/4/saison_id/2007,1.FC Nuremberg,€ 57.45 mi.
/vfl-bochum/kader/verein/80/saison_id/2007,VfL Bochum,€ 41.95 mi.
/karlsruher-sc/kader/verein/48/saison_id/2007,Karlsruher SC,€ 37.35 mi.
/arminia-bielefeld/kader/verein/10/saison_id/2007,Arminia Bielefeld,€ 34.85 mi.
/fc-energie-cottbus/kader/verein/25/saison_id/2007,FC Energie Cottbus,€ 30.95 mi.
/msv-duisburg/kader/verein/52/saison_id/2007,MSV Duisburg,€ 29.20 mi.
/fc-hansa-rostock/kader/verein/30/saison_id/2007,FC Hansa Rostock,€ 27.55 mi.
/fc-bayern-munique/kader/verein/27/saison_id/2008,FC Bayern Munique,€ 235.95 mi.
/hamburger-sv/kader/verein/41/saison_id/2008,Hamburger SV,€ 156.88 mi.
/werder-bremen/kader/verein/86/saison_id/2008,Werder Bremen,€ 149.45 mi.
/vfl-wolfsburg/kader/verein/82/saison_id/2008,VfL Wolfsburg,€ 138.33 mi.
/bayer-04-leverkusen/kader/verein/15/saison_id/2008,Bayer 04 Leverkusen,€ 120.10 mi.
/vfb-stuttgart/kader/verein/79/saison_id/2008,VfB Stuttgart,€ 119.05 mi.
/schalke-04/kader/verein/33/saison_id/2008,Schalke 04,€ 118.05 mi.
/borussia-dortmund/kader/verein/16/saison_id/2008,Borussia Dortmund,€ 105.83 mi.
