href,title,valor_monetario
/chelsea-fc/kader/verein/631/saison_id/2004,Chelsea FC,€ 331.48 mi.
/manchester-united-fc/kader/verein/985/saison_id/2004,Manchester United FC,€ 293.23 mi.
/fc-arsenal/kader/verein/11/saison_id/2004,FC Arsenal,€ 247.00 mi.
/fc-liverpool/kader/verein/31/saison_id/2004,FC Liverpool,€ 222.13 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2004,Tottenham Hotspur,€ 129.45 mi.
/newcastle-united/kader/verein/762/saison_id/2004,Newcastle United,€ 125.90 mi.
/birmingham-city/kader/verein/337/saison_id/2004,Birmingham City,€ 106.93 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2004,FC Middlesbrough,€ 95.48 mi.
/manchester-city-fc/kader/verein/281/saison_id/2004,Manchester City FC,€ 94.30 mi.
/fc-southampton/kader/verein/180/saison_id/2004,FC Southampton,€ 85.48 mi.
/aston-villa-fc/kader/verein/405/saison_id/2004,Aston Villa FC,€ 84.18 mi.
/fc-everton/kader/verein/29/saison_id/2004,FC Everton,€ 74.28 mi.
/blackburn-rovers/kader/verein/164/saison_id/2004,Blackburn Rovers,€ 73.70 mi.
/fc-fulham/kader/verein/931/saison_id/2004,FC Fulham,€ 65.23 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2004,FC Portsmouth,€ 64.00 mi.
/bolton-wanderers/kader/verein/355/saison_id/2004,Bolton Wanderers,€ 63.58 mi.
/charlton-athletic/kader/verein/358/saison_id/2004,Charlton Athletic,€ 57.80 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2004,West Bromwich Albion,€ 50.40 mi.
/crystal-palace-fc/kader/verein/873/saison_id/2004,Crystal Palace FC,€ 38.53 mi.
/norwich-city/kader/verein/1123/saison_id/2004,Norwich City,€ 31.05 mi.
/chelsea-fc/kader/verein/631/saison_id/2005,Chelsea FC,€ 363.43 mi.
/manchester-united-fc/kader/verein/985/saison_id/2005,Manchester United FC,€ 254.58 mi.
/fc-arsenal/kader/verein/11/saison_id/2005,FC Arsenal,€ 232.33 mi.
/fc-liverpool/kader/verein/31/saison_id/2005,FC Liverpool,€ 216.35 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2005,Tottenham Hotspur,€ 154.33 mi.
/newcastle-united/kader/verein/762/saison_id/2005,Newcastle United,€ 150.48 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2005,FC Middlesbrough,€ 94.38 mi.
/fc-everton/kader/verein/29/saison_id/2005,FC Everton,€ 92.92 mi.
/manchester-city-fc/kader/verein/281/saison_id/2005,Manchester City FC,€ 91.90 mi.
/aston-villa-fc/kader/verein/405/saison_id/2005,Aston Villa FC,€ 89.60 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2005,FC Portsmouth,€ 86.13 mi.
/charlton-athletic/kader/verein/358/saison_id/2005,Charlton Athletic,€ 82.43 mi.
/birmingham-city/kader/verein/337/saison_id/2005,Birmingham City,€ 81.83 mi.
/fc-fulham/kader/verein/931/saison_id/2005,FC Fulham,€ 70.88 mi.
/west-bromwich-albion/kader/verein/984/saison_id/2005,West Bromwich Albion,€ 65.55 mi.
/blackburn-rovers/kader/verein/164/saison_id/2005,Blackburn Rovers,€ 63.85 mi.
/west-ham-united/kader/verein/379/saison_id/2005,West Ham United,€ 62.55 mi.
/bolton-wanderers/kader/verein/355/saison_id/2005,Bolton Wanderers,€ 61.85 mi.
/wigan-athletic/kader/verein/1071/saison_id/2005,Wigan Athletic,€ 51.92 mi.
/afc-sunderland/kader/verein/289/saison_id/2005,AFC Sunderland,€ 34.35 mi.
/chelsea-fc/kader/verein/631/saison_id/2006,Chelsea FC,€ 416.76 mi.
/fc-arsenal/kader/verein/11/saison_id/2006,FC Arsenal,€ 278.18 mi.
/manchester-united-fc/kader/verein/985/saison_id/2006,Manchester United FC,€ 259.15 mi.
/fc-liverpool/kader/verein/31/saison_id/2006,FC Liverpool,€ 239.77 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2006,Tottenham Hotspur,€ 165.73 mi.
/newcastle-united/kader/verein/762/saison_id/2006,Newcastle United,€ 146.55 mi.
/aston-villa-fc/kader/verein/405/saison_id/2006,Aston Villa FC,€ 109.50 mi.
/fc-everton/kader/verein/29/saison_id/2006,FC Everton,€ 109.45 mi.
/west-ham-united/kader/verein/379/saison_id/2006,West Ham United,€ 105.45 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2006,FC Portsmouth,€ 97.08 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2006,FC Middlesbrough,€ 96.32 mi.
/manchester-city-fc/kader/verein/281/saison_id/2006,Manchester City FC,€ 89.25 mi.
/fc-fulham/kader/verein/931/saison_id/2006,FC Fulham,€ 84.68 mi.
/blackburn-rovers/kader/verein/164/saison_id/2006,Blackburn Rovers,€ 78.90 mi.
/wigan-athletic/kader/verein/1071/saison_id/2006,Wigan Athletic,€ 74.93 mi.
/bolton-wanderers/kader/verein/355/saison_id/2006,Bolton Wanderers,€ 72.38 mi.
/charlton-athletic/kader/verein/358/saison_id/2006,Charlton Athletic,€ 71.47 mi.
/sheffield-united/kader/verein/350/saison_id/2006,Sheffield United,€ 43.36 mi.
/fc-watford/kader/verein/1010/saison_id/2006,FC Watford,€ 32.97 mi.
/fc-reading/kader/verein/1032/saison_id/2006,FC Reading,€ 32.88 mi.
/chelsea-fc/kader/verein/631/saison_id/2007,Chelsea FC,€ 434.35 mi.
/manchester-united-fc/kader/verein/985/saison_id/2007,Manchester United FC,€ 354.55 mi.
/fc-liverpool/kader/verein/31/saison_id/2007,FC Liverpool,€ 305.65 mi.
/fc-arsenal/kader/verein/11/saison_id/2007,FC Arsenal,€ 262.40 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2007,Tottenham Hotspur,€ 220.50 mi.
/fc-everton/kader/verein/29/saison_id/2007,FC Everton,€ 155.30 mi.
/manchester-city-fc/kader/verein/281/saison_id/2007,Manchester City FC,€ 150.10 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2007,FC Portsmouth,€ 141.30 mi.
