href,title,valor_monetario
/chelsea-fc/kader/verein/631/saison_id/2007,Chelsea FC,€ 434.35 mi.
/manchester-united-fc/kader/verein/985/saison_id/2007,Manchester United FC,€ 354.55 mi.
/fc-liverpool/kader/verein/31/saison_id/2007,FC Liverpool,€ 305.65 mi.
/fc-arsenal/kader/verein/11/saison_id/2007,FC Arsenal,€ 262.40 mi.
/tottenham-hotspur/kader/verein/148/saison_id/2007,Tottenham Hotspur,€ 220.50 mi.
/fc-everton/kader/verein/29/saison_id/2007,FC Everton,€ 155.30 mi.
/manchester-city-fc/kader/verein/281/saison_id/2007,Manchester City FC,€ 150.10 mi.
/fc-portsmouth/kader/verein/1020/saison_id/2007,FC Portsmouth,€ 141.30 mi.
/newcastle-united/kader/verein/762/saison_id/2007,Newcastle United,€ 135.20 mi.
/fc-middlesbrough/kader/verein/641/saison_id/2007,FC Middlesbrough,€ 120.90 mi.
/west-ham-united/kader/verein/379/saison_id/2007,West Ham United,€ 120.00 mi.
/aston-villa-fc/kader/verein/405/saison_id/2007,Aston Villa FC,€ 112.10 mi.
/bolton-wanderers/kader/verein/355/saison_id/2007,Bolton Wanderers,€ 104.20 mi.
/fc-fulham/kader/verein/931/saison_id/2007,FC Fulham,€ 99.05 mi.
/blackburn-rovers/kader/verein/164/saison_id/2007,Blackburn Rovers,€ 90.85 mi.
/afc-sunderland/kader/verein/289/saison_id/2007,AFC Sunderland,€ 83.60 mi.
/birmingham-city/kader/verein/337/saison_id/2007,Birmingham City,€ 82.50 mi.
/wigan-athletic/kader/verein/1071/saison_id/2007,Wigan Athletic,€ 77.75 mi.
/fc-reading/kader/verein/1032/saison_id/2007,FC Reading,€ 65.93 mi.
/derby-county/kader/verein/22/saison_id/2007,Derby County,€ 50.40 mi.
