nomeJogador,posicao,idade,nacionalidade,timeEmprestado,inicioEmp,fimEmp,plantel,jogos,gols,valorEmpInicio,valorEmpFim
Christian Pulisic,Ponta Direita,20,"Estados Unidos, Croácia",Dortmund,03/01/2019,30/06/2019,24,20,4,€ 50.00 mi.,€ 60.00 mi.
Álvaro Morata,Centroavante,26,Espanha,Atlético,28/01/2019,30/06/2020,16,15,6,€ 50.00 mi.,€ 36.00 mi.
Tiemoué Bakayoko,Volante,23,"França, Costa do Marfim",Milan,13/08/2018,30/06/2019,37,31,1,€ 40.00 mi.,€ 35.00 mi.
Michy Batshuayi,Centroavante,25,"Bélgica, RD do Congo",Crystal Palace,31/01/2019,30/06/2019,14,11,5,€ 30.00 mi.,€ 30.00 mi.
Michy Batshuayi,Centroavante,24,"Bélgica, RD do Congo",Valencia,10/08/2018,30/01/2019,17,15,1,€ 40.00 mi.,€ 30.00 mi.
Mario Pasalić,Meia Central,23,Croácia,Atalanta,25/07/2018,31/08/2020,38,33,5,€ 8.00 mi.,€ 25.00 mi.
Kurt Zouma,Zagueiro,23,"França, República Central Africana",Everton,09/08/2018,31/05/2019,34,32,2,€ 15.00 mi.,€ 20.00 mi.
Tammy Abraham,Centroavante,20,"Inglaterra, Nigéria",Aston Villa,31/08/2018,31/05/2019,37,37,25,€ 10.00 mi.,€ 15.00 mi.
Kenedy,Ponta Esquerda,21,Brasil,Newcastle,23/01/2018,31/05/2019,28,25,1,€ 7.00 mi.,€ 10.00 mi.
Ola Aina,Lateral Dir.,21,"Nigéria, Inglaterra",Torino,14/08/2018,30/06/2019,32,30,1,€ 4.00 mi.,€ 10.00 mi.
Victor Moses,Ponta Direita,28,"Nigéria, Inglaterra",Fenerbahce,25/01/2019,22/01/2020,14,14,4,€ 18.00 mi.,€ 8.50 mi.
Fikayo Tomori,Zagueiro,20,"Inglaterra, Canadá",Derby,06/08/2018,31/05/2019,45,44,1,€ 1.00 mi.,€ 7.00 mi.
Lewis Baker,Meia Central,23,"Inglaterra, Jamaica",Leeds,01/07/2018,08/01/2019,26,11,-,€ 5.50 mi.,€ 5.50 mi.
Abdul Rahman Baba,Lateral Esq.,23,Gana,Schalke,29/01/2018,28/01/2019,3,2,-,€ 8.00 mi.,€ 5.00 mi.
Lewis Baker,Meia Central,23,"Inglaterra, Jamaica",Reading,09/01/2019,31/05/2019,20,19,1,€ 5.50 mi.,€ 5.00 mi.
Abdul Rahman Baba,Lateral Esq.,24,Gana,Reims,29/01/2019,30/06/2019,13,11,1,€ 5.00 mi.,€ 5.00 mi.
Kenneth Omeruo,Zagueiro,24,Nigéria,Leganés,15/08/2018,30/06/2019,31,28,-,€ 1.80 mi.,€ 5.00 mi.
Izzy Brown,Ponta Esquerda,21,"Inglaterra, Jamaica",Leeds,30/08/2018,31/05/2019,8,1,-,€ 5.00 mi.,€ 5.00 mi.
Tomas Kalas,Zagueiro,25,República Checa,Bristol City,23/08/2018,31/05/2019,38,38,-,€ 5.00 mi.,€ 4.00 mi.
Matt Miazga,Zagueiro,23,"Estados Unidos, Polónia",Reading,25/01/2019,31/05/2019,18,18,-,€ 3.00 mi.,€ 3.00 mi.
Matt Miazga,Zagueiro,23,"Estados Unidos, Polónia",Nantes,06/08/2018,24/01/2019,13,8,-,€ 3.00 mi.,€ 3.00 mi.
Michael Hector,Zagueiro,26,"Jamaica, Inglaterra",Sheff Wed,31/08/2018,30/06/2019,40,37,2,€ 3.00 mi.,€ 3.00 mi.
Danilo Pantic,Meia Ofensivo,20,Sérvia,Partizan,01/07/2017,30/06/2019,32,32,6,€ 400 mil,€ 2.75 mi.
Jake Clarke-Salter,Zagueiro,20,"Inglaterra, Irlanda ",Vitesse,02/07/2018,30/06/2019,29,29,1,€ 1.00 mi.,€ 2.00 mi.
Lucas Piazón,Volante,25,"Brasil, Itália",Chievo Verona,31/01/2019,30/06/2019,16,4,-,€ 2.50 mi.,€ 1.50 mi.
Todd Kane,Lateral Dir.,24,"Inglaterra, Escócia",Hull City,17/07/2018,31/05/2019,44,39,3,€ 1.25 mi.,€ 1.00 mi.
Charly Musonda Jr.,Ponta Esquerda,21,"Bélgica, Zâmbia",Vitesse,31/08/2018,30/06/2020,2,1,-,€ 5.00 mi.,€ 1.00 mi.
Nathan,Meia Ofensivo,22,Brasil,Atlético-MG,23/07/2018,30/06/2020,28,20,4,€ 1.00 mi.,€ 800 mil
Eduardo,Goleiro,35,Portugal,Vitesse,06/07/2018,30/06/2019,34,27,-,€ 1.00 mi.,€ 750 mil
Jamal Blackman,Goleiro,24,"Inglaterra, Barbados",Leeds,16/07/2018,16/11/2018,17,-,-,€ 250 mil,€ 500 mil
