,href,title,valor_monetario,nome_time,id_time,temporada
0,/chelsea-fc/kader/verein/631/saison_id/2004,Chelsea FC,€ 331.48 mi.,chelsea-fc,631,04/05
1,/manchester-united-fc/kader/verein/985/saison_id/2004,Manchester United FC,€ 293.23 mi.,manchester-united-fc,985,04/05
2,/fc-arsenal/kader/verein/11/saison_id/2004,FC Arsenal,€ 247.00 mi.,fc-arsenal,11,04/05
3,/fc-liverpool/kader/verein/31/saison_id/2004,FC Liverpool,€ 222.13 mi.,fc-liverpool,31,04/05
4,/tottenham-hotspur/kader/verein/148/saison_id/2004,Tottenham Hotspur,€ 129.45 mi.,tottenham-hotspur,148,04/05
5,/newcastle-united/kader/verein/762/saison_id/2004,Newcastle United,€ 125.90 mi.,newcastle-united,762,04/05
6,/birmingham-city/kader/verein/337/saison_id/2004,Birmingham City,€ 106.93 mi.,birmingham-city,337,04/05
7,/fc-middlesbrough/kader/verein/641/saison_id/2004,FC Middlesbrough,€ 95.48 mi.,fc-middlesbrough,641,04/05
8,/manchester-city-fc/kader/verein/281/saison_id/2004,Manchester City FC,€ 94.30 mi.,manchester-city-fc,281,04/05
9,/fc-southampton/kader/verein/180/saison_id/2004,FC Southampton,€ 85.48 mi.,fc-southampton,180,04/05
10,/aston-villa-fc/kader/verein/405/saison_id/2004,Aston Villa FC,€ 84.18 mi.,aston-villa-fc,405,04/05
11,/fc-everton/kader/verein/29/saison_id/2004,FC Everton,€ 74.28 mi.,fc-everton,29,04/05
12,/blackburn-rovers/kader/verein/164/saison_id/2004,Blackburn Rovers,€ 73.70 mi.,blackburn-rovers,164,04/05
13,/fc-fulham/kader/verein/931/saison_id/2004,FC Fulham,€ 65.23 mi.,fc-fulham,931,04/05
14,/fc-portsmouth/kader/verein/1020/saison_id/2004,FC Portsmouth,€ 64.00 mi.,fc-portsmouth,1020,04/05
15,/bolton-wanderers/kader/verein/355/saison_id/2004,Bolton Wanderers,€ 63.58 mi.,bolton-wanderers,355,04/05
16,/charlton-athletic/kader/verein/358/saison_id/2004,Charlton Athletic,€ 57.80 mi.,charlton-athletic,358,04/05
17,/west-bromwich-albion/kader/verein/984/saison_id/2004,West Bromwich Albion,€ 50.40 mi.,west-bromwich-albion,984,04/05
18,/crystal-palace-fc/kader/verein/873/saison_id/2004,Crystal Palace FC,€ 38.53 mi.,crystal-palace-fc,873,04/05
19,/norwich-city/kader/verein/1123/saison_id/2004,Norwich City,€ 31.05 mi.,norwich-city,1123,04/05
20,/chelsea-fc/kader/verein/631/saison_id/2005,Chelsea FC,€ 363.43 mi.,chelsea-fc,631,05/06
21,/manchester-united-fc/kader/verein/985/saison_id/2005,Manchester United FC,€ 254.58 mi.,manchester-united-fc,985,05/06
22,/fc-arsenal/kader/verein/11/saison_id/2005,FC Arsenal,€ 232.33 mi.,fc-arsenal,11,05/06
23,/fc-liverpool/kader/verein/31/saison_id/2005,FC Liverpool,€ 216.35 mi.,fc-liverpool,31,05/06
24,/tottenham-hotspur/kader/verein/148/saison_id/2005,Tottenham Hotspur,€ 154.33 mi.,tottenham-hotspur,148,05/06
25,/newcastle-united/kader/verein/762/saison_id/2005,Newcastle United,€ 150.48 mi.,newcastle-united,762,05/06
26,/fc-middlesbrough/kader/verein/641/saison_id/2005,FC Middlesbrough,€ 94.38 mi.,fc-middlesbrough,641,05/06
